0:	1.357038740935E-06
1:	2.401313167866E-06
2:	3.336797817610E-06
3:	4.379666279419E-06
4:	5.520143531612E-06
5:	6.505411420221E-06
6:	7.437071872118E-06
7:	8.275411346403E-06
8:	9.012668670039E-06
9:	9.832592695602E-06
10:	1.055400753103E-05
11:	1.136043192673E-05
12:	1.225041978614E-05
13:	1.286680617341E-05
14:	1.333165073447E-05
15:	1.391242403770E-05
16:	1.457266353100E-05
17:	1.531828274892E-05
18:	1.601133226359E-05
19:	1.657599932514E-05
20:	1.706199873297E-05
21:	1.762941974448E-05
22:	1.838314528868E-05
23:	1.924599200720E-05
24:	1.999216874538E-05
25:	2.057484744000E-05
26:	2.105172643496E-05
27:	2.158621828130E-05
28:	2.226330616395E-05
29:	2.298794970557E-05
30:	2.365610089328E-05
31:	2.420887540211E-05
32:	2.469843457220E-05
33:	2.522232898627E-05
34:	2.582405977591E-05
35:	2.646054235811E-05
36:	2.705707447603E-05
37:	2.757219954219E-05
38:	2.803811912599E-05
39:	2.852532816178E-05
40:	2.906823829107E-05
41:	2.963247061416E-05
42:	3.016923801624E-05
43:	3.064452903345E-05
44:	3.110898978775E-05
45:	3.162124266964E-05
46:	3.215946344426E-05
47:	3.271034802310E-05
48:	3.324757562950E-05
49:	3.375405503903E-05
50:	3.424239184824E-05
51:	3.473828837741E-05
52:	3.525147985783E-05
53:	3.577434472390E-05
54:	3.628370541264E-05
55:	3.677044878714E-05
56:	3.724516500370E-05
57:	3.771770934691E-05
58:	3.820822166745E-05
59:	3.869788270094E-05
60:	3.918442598660E-05
61:	3.965242649429E-05
62:	4.010729389847E-05
63:	4.056243778905E-05
64:	4.102952152607E-05
65:	4.149364031036E-05
66:	4.195616929792E-05
67:	4.240149064572E-05
68:	4.284234455554E-05
69:	4.327651913627E-05
70:	4.371888280730E-05
71:	4.416635056259E-05
72:	4.462277865969E-05
73:	4.507228368311E-05
74:	4.550920129986E-05
75:	4.595318750944E-05
76:	4.639882536139E-05
77:	4.684253508458E-05
78:	4.728820931632E-05
79:	4.772379543283E-05
80:	4.815563079319E-05
81:	4.859115142608E-05
82:	4.902502405457E-05
83:	4.945500040776E-05
84:	4.988559521735E-05
85:	5.030980901211E-05
86:	5.073178181192E-05
87:	5.114544183016E-05
88:	5.157402483746E-05
89:	5.198936196393E-05
90:	5.240717291599E-05
91:	5.282299389364E-05
92:	5.323184450390E-05
93:	5.363981836126E-05
94:	5.405169213191E-05
95:	5.445597707876E-05
96:	5.486347436090E-05
97:	5.526767563424E-05
